"","x"
"533",379845
"534",379841
"535",379556
"536",378040
"537",376727
"538",373333
"539",373292
"540",372288
"541",371688
"542",371317
"543",371316
"544",371315
"545",370681
"546",368131
"547",365403
"548",363812
"549",363795
"550",363792
"551",363788
"552",363623
"553",363531
"554",363321
"555",363320
"556",361968
"557",361223
"558",360760
"559",358007
"560",357963
"561",357961
"562",357960
"563",357945
"564",357929
"565",356025
"566",355832
"567",354480
"568",354479
"569",354146
"570",350753
"571",350752
"572",350605
"573",349917
"574",349916
"575",348734
"576",348244
"577",346782
"578",346738
"579",345269
"580",344613
"581",344258
"582",343143
"583",342860
"584",342858
"585",342854
"586",342820
"587",342819
"588",342818
"589",342811
"590",340201
"591",336742
"592",334369
"593",334366
"594",333743
"595",333418
"596",332772
"597",332722
"598",331459
"599",331254
"600",327885
"601",327296
"602",327180
"603",327053
"604",327052
"605",327048
"606",327045
"607",326952
"608",326083
"609",321839
"610",321635
"611",320156
"612",319985
"613",319979
"614",319897
"615",319848
"616",317549
"617",316985
"618",315679
"619",315636
"620",315610
"621",315498
"622",313730
"623",310513
"624",309994
"625",309980
"626",309973
"627",307798
"628",307797
"629",307769
"630",307768
"631",307767
"632",307766
"633",307765
"634",307764
"635",307763
"636",307762
"637",307761
"638",307760
"639",306314
"640",303968
"641",303580
"642",303579
"643",302944
"644",302942
"645",302305
"646",302178
"647",301739
"648",301716
"649",301249
"650",301166
"651",298446
"652",298443
"653",298420
"654",298395
"655",298388
"656",298386
"657",298385
"658",298383
"659",297899
"660",297898
"661",297451
"662",295932
"663",295560
"664",295559
"665",295558
"666",294532
"667",294060
"668",294058
"669",293604
"670",292912
"671",290776
"672",290680
"673",290493
"674",289239
"675",288766
"676",288651
"677",287199
"678",287187
"679",287097
"680",287035
"681",287001
"682",286822
"683",286363
"684",285791
"685",285553
"686",285536
"687",285532
"688",285525
"689",285524
"690",284308
"691",282559
"692",282558
"693",282557
"694",282556
"695",280561
"696",280418
"697",278461
"698",277407
"699",277400
"700",277395
"701",277343
"702",271220
"703",271167
"704",270987
"705",270189
"706",270094
"707",270093
"708",269373
"709",267633
"710",267613
"711",265977
"712",265731
"713",265729
"714",265722
"715",263128
"716",255995
"717",255858
"718",255855
"719",255624
"720",255623
"721",255621
"722",255609
"723",255608
"724",255287
"725",252381
"726",251449
"727",251140
"728",251035
"729",250769
"730",249331
"731",249023
"732",248157
"733",245411
"734",244517
"735",241484
"736",240854
"737",239394
"738",239389
"739",238984
"740",238821
"741",237927
"742",237369
"743",235916
"744",234228
"745",234227
"746",234224
"747",233424
"748",231949
"749",231586
"750",230780
"751",230746
"752",230310
"753",229623
"754",228135
"755",227915
"756",226770
"757",226083
"758",225768
"759",224940
"760",224542
"761",223422
"762",222363
"763",222321
"764",220264
"765",220263
"766",220262
"767",220227
"768",220226
"769",220224
"770",219116
"771",218965
"772",218944
"773",218188
"774",218186
"775",215415
"776",215411
"777",215406
"778",214417
"779",214397
"780",213285
"781",212851
"782",212796
"783",212793
"784",212789
"785",211849
"786",209424
"787",209133
"788",209111
"789",208164
"790",207895
"791",206753
"792",201822
"793",201821
"794",201820
"795",201819
"796",201818
"797",201817
"798",201816
"799",201815
"800",201814
"801",201809
"802",201808
"803",201807
"804",201806
"805",201805
"806",201804
"807",201803
"808",201802
"809",201801
"810",201383
"811",200866
"812",200865
"813",200601
"814",200309
"815",200307
"816",200244
"817",200171
"818",199790
"819",199769
"820",199768
"821",199767
"822",199766
"823",199649
"824",199516
"825",199515
"826",199514
"827",199513
"828",199512
"829",199511
"830",199510
"831",199509
"832",199508
"833",199507
"834",199398
"835",199397
"836",199395
"837",199394
"838",199323
"839",199158
"840",198830
"841",198332
"842",198331
"843",198330
"844",198329
"845",198223
"846",198221
"847",196772
"848",196771
"849",195096
"850",194961
"851",194960
"852",194959
"853",194958
"854",194957
"855",194266
"856",194221
"857",194220
"858",194218
"859",194217
"860",194214
"861",194213
"862",194209
"863",194202
"864",194109
"865",191512
"866",189812
"867",189587
"868",189113
"869",188813
"870",188812
"871",188811
"872",188720
"873",188690
"874",188650
"875",187408
"876",187407
"877",186756
"878",184798
"879",184794
"880",184793
"881",184792
"882",184791
"883",184783
"884",184590
"885",184589
"886",184584
"887",184583
"888",184542
"889",184076
"890",184072
"891",184070
"892",184065
"893",184064
"894",184058
"895",184055
"896",184054
"897",184053
"898",184052
"899",184051
"900",184050
"901",184047
"902",184046
"903",184043
"904",184042
"905",184041
"906",184040
"907",182807
"908",182008
"909",182007
"910",181887
"911",181792
"912",180290
"913",180289
"914",180208
"915",180207
"916",180206
"917",180203
"918",180202
"919",180201
"920",180200
"921",180199
"922",180198
"923",180197
"924",180195
"925",180156
"926",180155
"927",179318
"928",179317
"929",179149
"930",179082
"931",179074
"932",178723
"933",177952
"934",177615
"935",177107
"936",176060
"937",175672
"938",175346
"939",174534
"940",173230
"941",172626
"942",172264
"943",172103
"944",171688
"945",171657
"946",171656
"947",171654
"948",171649
"949",171641
"950",171637
"951",171633
"952",171628
"953",171626
"954",171574
"955",170488
"956",170252
"957",168397
"958",168396
"959",168395
"960",168394
"961",167996
"962",167253
"963",166983
"964",166982
"965",166981
"966",166980
"967",166979
"968",166978
"969",166942
"970",166936
"971",166935
"972",166934
"973",166932
"974",166931
"975",166930
"976",166929
"977",166928
"978",166926
"979",166923
"980",166922
"981",166921
"982",166920
"983",166919
"984",166918
"985",166917
"986",166916
"987",166915
"988",166914
"989",166913
"990",166911
"991",166909
"992",166907
"993",166887
"994",166886
"995",166883
"996",166882
"997",164446
"998",164445
"999",162826
"1000",162264
"1001",161869
"1002",161868
"1003",161867
"1004",160063
"1005",160061
"1006",159697
"1007",159618
"1008",158213
"1009",157753
"1010",156722
"1011",156719
"1012",156718
"1013",156717
"1014",156716
"1015",156715
"1016",156712
"1017",156680
"1018",156678
"1019",155651
"1020",155650
"1021",155460
"1022",155458
"1023",155457
"1024",155456
"1025",155291
"1026",155289
"1027",155288
"1028",155287
"1029",155286
"1030",155281
"1031",155280
"1032",155190
"1033",155189
"1034",155188
"1035",155187
"1036",155185
"1037",155184
"1038",155175
"1039",155174
"1040",155173
"1041",155172
"1042",155170
"1043",155168
"1044",154588
"1045",153654
"1046",152861
"1047",152860
"1048",152551
"1049",152550
"1050",152548
"1051",152547
"1052",152534
"1053",152533
"1054",152531
"1055",152529
"1056",152522
"1057",152521
"1058",152519
"1059",152517
"1060",152516
"1061",152513
"1062",152512
"1063",152511
"1064",152509
"1065",152508
"1066",152457
"1067",152410
"1068",152408
"1069",152392
"1070",152391
"1071",152375
"1072",152374
"1073",152373
"1074",152284
"1075",151945
"1076",151940
"1077",151938
"1078",151781
"1079",151708
"1080",151707
"1081",151706
"1082",150861
"1083",150457
"1084",150153
"1085",150152
"1086",147891
"1087",147868
"1088",147867
"1089",147866
"1090",147865
"1091",147859
"1092",147858
"1093",147857
"1094",147786
"1095",147436
"1096",147427
"1097",147388
"1098",147242
"1099",146998
"1100",146996
"1101",146956
"1102",144908
"1103",144905
"1104",144904
"1105",144834
"1106",144833
"1107",144832
"1108",143666
"1109",143660
"1110",143433
"1111",143360
"1112",143359
"1113",143280
"1114",143279
"1115",143254
"1116",141959
"1117",141129
"1118",140957
"1119",140934
"1120",140479
"1121",140460
"1122",140459
"1123",140378
"1124",140377
"1125",140376
"1126",140375
"1127",140216
"1128",140215
"1129",140213
"1130",139972
"1131",139055
"1132",139053
"1133",138366
"1134",138365
"1135",138339
"1136",138281
"1137",136943
"1138",134794
"1139",134545
"1140",133832
"1141",133829
"1142",133828
"1143",130562
"1144",128981
"1145",128795
"1146",128794
"1147",128793
"1148",128464
"1149",128000
"1150",126278
"1151",125312
"1152",125310
"1153",123377
"1154",123222
"1155",122199
"1156",122168
"1157",122145
"1158",122143
"1159",122118
"1160",122008
"1161",121920
"1162",121143
"1163",121141
"1164",121107
"1165",121100
"1166",121098
"1167",119077
"1168",119071
"1169",119062
"1170",118655
"1171",118584
"1172",118080
"1173",118079
"1174",118072
"1175",116482
"1176",116473
"1177",116273
"1178",116070
"1179",113705
"1180",113704
"1181",113493
"1182",113492
"1183",111802
"1184",111405
"1185",111003
"1186",110996
"1187",109710
"1188",109675
"1189",109164
"1190",106380
"1191",106379
"1192",106378
"1193",105243
"1194",105186
"1195",105122
"1196",105011
"1197",104542
"1198",103983
"1199",103953
"1200",103918
"1201",102986
"1202",102985
"1203",102923
"1204",102199
"1205",102198
"1206",102195
"1207",101620
"1208",101614
"1209",101613
"1210",101612
"1211",101348
"1212",101253
"1213",101153
"1214",100443
"1215",99931
"1216",99852
"1217",99851
"1218",99849
"1219",99847
"1220",99539
"1221",99538
"1222",99341
"1223",99016
"1224",99015
"1225",99014
"1226",99012
"1227",98712
"1228",98653
"1229",98036
"1230",98034
"1231",98033
"1232",97061
"1233",97058
"1234",96872
"1235",96854
"1236",96241
"1237",95883
"1238",95739
"1239",95738
"1240",94445
"1241",94425
"1242",94424
"1243",94423
"1244",94421
"1245",93947
"1246",93225
"1247",92939
"1248",92938
"1249",92901
"1250",92866
"1251",92790
"1252",92786
"1253",92783
"1254",91029
"1255",91027
"1256",90401
"1257",89126
"1258",88680
"1259",88464
"1260",88463
"1261",88063
"1262",88062
"1263",88061
"1264",88060
"1265",87771
"1266",87769
"1267",87693
"1268",87683
"1269",87153
"1270",87129
"1271",87128
"1272",87127
"1273",87126
"1274",87125
"1275",87124
"1276",87123
"1277",87122
"1278",87113
"1279",87112
"1280",83343
"1281",83341
"1282",81855
"1283",81853
"1284",80144
"1285",79341
"1286",79338
"1287",79335
"1288",79334
"1289",78316
"1290",76934
"1291",76932
"1292",76804
"1293",76803
"1294",76802
"1295",76801
"1296",76800
"1297",76799
"1298",76798
"1299",76797
"1300",76796
"1301",76795
"1302",76794
"1303",76793
"1304",76091
"1305",76090
"1306",76087
"1307",75946
"1308",75942
"1309",74768
"1310",74767
"1311",74127
"1312",74126
"1313",74125
"1314",74124
"1315",74023
"1316",71536
"1317",71535
"1318",71190
"1319",71168
"1320",70770
"1321",70767
"1322",69535
"1323",69511
"1324",69329
"1325",68691
"1326",68571
"1327",68569
"1328",68555
"1329",68518
"1330",68514
"1331",68444
"1332",68443
"1333",68442
"1334",68441
"1335",68440
"1336",68436
"1337",68435
"1338",68434
"1339",68431
"1340",68430
"1341",68428
"1342",68427
"1343",68421
"1344",67910
"1345",67215
"1346",66401
"1347",66400
"1348",64500
"1349",64427
"1350",64197
"1351",63796
"1352",62975
"1353",62974
"1354",62970
"1355",62844
"1356",62291
"1357",62290
"1358",62267
"1359",62229
"1360",62024
"1361",62023
"1362",62022
"1363",59731
"1364",59448
"1365",59447
"1366",59444
"1367",59443
"1368",59428
"1369",59414
"1370",59413
"1371",59311
"1372",56710
"1373",56227
"1374",56200
"1375",55527
"1376",54294
"1377",54293
"1378",52764
"1379",52587
"1380",52182
"1381",52001
"1382",52000
"1383",51999
"1384",51769
"1385",51470
"1386",51336
"1387",51250
"1388",50942
"1389",50919
"1390",50701
"1391",50700
"1392",50693
"1393",50482
"1394",50250
"1395",49808
"1396",49806
"1397",49805
"1398",49802
"1399",49799
"1400",49797
"1401",49793
"1402",49791
"1403",49788
"1404",49785
"1405",49784
"1406",49783
"1407",49782
"1408",49779
"1409",49777
"1410",49776
"1411",49774
"1412",49772
"1413",49767
"1414",49719
"1415",49718
"1416",49716
"1417",49715
"1418",49714
"1419",49713
"1420",49711
"1421",49151
"1422",49031
"1423",48913
"1424",48843
"1425",48828
"1426",48647
"1427",48577
"1428",48576
"1429",48245
"1430",48203
"1431",48202
"1432",48201
"1433",48200
"1434",48136
"1435",47734
"1436",47733
"1437",46635
"1438",45688
"1439",45494
"1440",45493
"1441",45492
"1442",45491
"1443",44857
"1444",44487
"1445",44465
"1446",44463
"1447",44462
"1448",44461
"1449",44457
"1450",44427
"1451",44426
"1452",43838
"1453",43835
"1454",43678
"1455",43622
"1456",43621
"1457",43405
"1458",43404
"1459",43403
"1460",43402
"1461",43401
"1462",43400
"1463",43399
"1464",43398
"1465",43397
"1466",43396
"1467",43395
"1468",43267
"1469",43217
"1470",43195
"1471",42874
"1472",42873
"1473",42871
"1474",42175
"1475",42174
"1476",39624
"1477",39605
"1478",39603
"1479",39602
"1480",39601
"1481",39206
"1482",39202
"1483",39176
"1484",39171
"1485",38489
"1486",38402
"1487",37965
"1488",37889
"1489",37782
"1490",37566
"1491",37060
"1492",37059
"1493",36220
"1494",36155
"1495",35759
"1496",35758
"1497",34503
"1498",34498
"1499",34415
"1500",34414
"1501",34373
"1502",34347
"1503",34216
"1504",34215
"1505",34177
"1506",34176
"1507",34175
"1508",34174
"1509",33697
"1510",32813
"1511",32812
"1512",32811
"1513",32726
"1514",32725
"1515",32719
"1516",32317
"1517",31500
"1518",31429
"1519",31352
"1520",31190
"1521",31112
"1522",31106
"1523",31102
"1524",30801
"1525",30755
"1526",28955
"1527",28869
"1528",28753
"1529",28752
"1530",28751
"1531",28749
"1532",28747
"1533",28682
"1534",28679
"1535",28670
"1536",28668
"1537",28666
"1538",28665
"1539",28655
"1540",28600
"1541",28598
"1542",28594
"1543",28590
"1544",28589
"1545",28588
"1546",28587
"1547",28586
"1548",27778
"1549",25095
"1550",24989
"1551",24988
"1552",23669
"1553",22885
"1554",22884
"1555",22883
"1556",22878
"1557",22037
"1558",22025
"1559",21060
"1560",20729
"1561",20051
"1562",19608
"1563",19508
"1564",19469
"1565",19425
"1566",19424
"1567",19423
"1568",19422
"1569",19420
"1570",19419
"1571",19418
"1572",19417
"1573",19412
"1574",19411
"1575",19410
"1576",19409
"1577",19354
"1578",19349
"1579",19339
"1580",19338
"1581",19333
"1582",19307
"1583",19306
"1584",19305
"1585",19304
"1586",19301
"1587",19300
"1588",19299
"1589",19298
"1590",19297
"1591",19296
"1592",19295
"1593",19290
"1594",19186
"1595",19185
"1596",19180
"1597",19179
"1598",19141
"1599",19139
"1600",19138
"1601",18999
"1602",18948
"1603",18944
"1604",18943
"1605",18942
"1606",18941
"1607",18940
"1608",18910
"1609",18703
"1610",18702
"1611",18531
"1612",18511
"1613",18351
"1614",18269
"1615",18268
"1616",18267
"1617",18266
"1618",18265
"1619",18264
"1620",18263
"1621",18262
"1622",18261
"1623",18260
"1624",18094
"1625",18047
"1626",18046
"1627",18045
"1628",18044
"1629",18043
"1630",18042
"1631",18041
"1632",17987
"1633",17986
"1634",17848
"1635",17397
"1636",16660
"1637",16659
"1638",16619
"1639",16617
"1640",15694
"1641",15489
"1642",15257
"1643",15256
"1644",15120
"1645",15119
"1646",15082
"1647",15081
"1648",15080
"1649",15078
"1650",15075
"1651",15074
"1652",15064
"1653",15063
"1654",15062
"1655",15061
"1656",15058
"1657",15057
"1658",15056
"1659",15055
"1660",15053
"1661",14934
"1662",14924
"1663",14923
"1664",14922
"1665",14903
"1666",14902
"1667",14901
"1668",14900
"1669",14899
"1670",14898
"1671",14897
"1672",14896
"1673",14895
"1674",14894
"1675",14893
"1676",14892
"1677",14891
"1678",14890
"1679",14888
"1680",14887
"1681",14886
"1682",14885
"1683",14884
"1684",14883
"1685",14882
"1686",14881
"1687",14879
"1688",14857
"1689",14856
"1690",14834
"1691",14833
"1692",14761
"1693",14760
"1694",14759
"1695",14758
"1696",14747
"1697",14729
"1698",14728
"1699",14696
"1700",14297
"1701",14295
"1702",14294
"1703",14291
"1704",14288
"1705",14286
"1706",14285
"1707",14279
"1708",14274
"1709",14273
"1710",14267
"1711",14265
"1712",14264
"1713",14262
"1714",14261
"1715",14259
"1716",14258
"1717",14240
"1718",14239
"1719",14238
"1720",14237
"1721",14236
"1722",14235
"1723",14234
"1724",14233
"1725",14232
"1726",14231
"1727",14230
"1728",14229
"1729",14228
"1730",14227
"1731",14226
"1732",14225
"1733",14224
"1734",14223
"1735",14222
"1736",14221
"1737",14220
"1738",14219
"1739",14218
"1740",14217
"1741",14216
"1742",14215
"1743",14214
"1744",14213
"1745",14212
"1746",14211
"1747",14210
"1748",14209
"1749",14208
"1750",14207
"1751",14206
"1752",14205
"1753",14204
"1754",13995
"1755",13992
"1756",13991
"1757",13691
"1758",13687
"1759",13509
"1760",13508
"1761",13502
"1762",13497
"1763",13496
"1764",13491
"1765",13490
"1766",13488
"1767",13487
"1768",13485
"1769",13484
"1770",13482
"1771",13481
"1772",13480
"1773",13477
"1774",13391
"1775",13390
"1776",13388
"1777",13387
"1778",13386
"1779",13385
"1780",13384
"1781",13383
"1782",13382
"1783",13381
"1784",13380
"1785",13379
"1786",13378
"1787",13377
"1788",13376
"1789",13375
"1790",13277
"1791",13276
"1792",13199
"1793",13107
"1794",13106
"1795",13105
"1796",13103
"1797",13099
"1798",13098
"1799",13096
"1800",13094
"1801",13093
"1802",12556
"1803",12555
"1804",12554
"1805",12553
"1806",12552
"1807",12551
"1808",12550
"1809",12549
"1810",12548
"1811",12547
"1812",11961
"1813",11067
"1814",10986
"1815",10985
"1816",10982
"1817",10980
"1818",10979
"1819",10978
"1820",10908
"1821",10907
"1822",10905
"1823",10885
"1824",10884
"1825",10686
"1826",10632
"1827",10353
"1828",10085
"1829",10084
"1830",10083
"1831",9791
"1832",9547
"1833",8927
"1834",8523
"1835",8506
"1836",7795
"1837",7792
"1838",7791
"1839",7606
"1840",7604
"1841",7291
"1842",7240
"1843",7195
"1844",6780
"1845",6726
"1846",6692
"1847",6691
"1848",6689
"1849",6688
"1850",6687
"1851",6686
"1852",6685
"1853",6684
"1854",6683
"1855",6682
"1856",6681
"1857",6680
"1858",6679
"1859",6678
"1860",6677
"1861",6676
"1862",6626
"1863",6625
"1864",6301
"1865",5596
"1866",5595
"1867",4873
"1868",4801
"1869",4800
"1870",3804
"1871",3492
"1872",3491
"1873",3317
"1874",2628
"1875",2627
"1876",2626
"1877",2155
"1878",2089
"1879",2087
"1880",2006
"1881",2005
"1882",2004
"1883",2003
"1884",2002
"1885",2001
"1886",2000
"1887",1999
"1888",1998
"1889",1997
"1890",1996
"1891",1973
"1892",1972
"1893",1953
"1894",1952
"1895",1951
"1896",1950
"1897",1949
"1898",1948
"1899",1816
"1900",1764
"1901",1733
"1902",1703
"1903",1700
"1904",1669
"1905",1668
"1906",1667
"1907",1666
"1908",1623
"1909",1604
"1910",1603
"1911",1369
"1912",1104
"1913",1103
"1914",1101
"1915",1100
"1916",1074
"1917",1050
"1918",948
"1919",928
"1920",922
"1921",921
"1922",731
"1923",730
"1924",729
"1925",672
"1926",621
"1927",586
"1928",585
"1929",584
"1930",573
"1931",399
"1932",398
"1933",397
"1934",316
"1935",283
